,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,cname
180,0.48800001,UGA,Subsaharian,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718,Uganda
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.199999809265142,0.0,,4.968935012817383,Libya
54,0.44100001,ETH,Subsaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,Ethiopia (1993-)
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675,Hungary
55,0.41800001,ERI,Subsaharian,1007.28,,,0.62,,3.338293075561523,Eritrea
184,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783,United Kingdom
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316,Guyana
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777,Estonia
65,0.57499999,GHA,Subsaharian,2584.6001,,48.599998474121094,1.64,6.3000002,3.557291984558107,Ghana
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.4000000953674316,8.8000002,21.799999,9.679908752441406,Finland
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736327,Croatia
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.7423648834228525,Bahamas
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016,United Arab Emirates
52,0.67799997,SLV,Latam,332.26999,,13.600000381469732,2.52,,6.772402763366699,El Salvador
108,0.51300001,MRT,Subsaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523,Mauritania
124,0.64200002,NIC,Latam,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224,Nicaragua
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031,Netherlands
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.0667781829833975,Vietnam
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.800000190734858,1.39,,7.003858089447022,Tunisia
126,0.52499998,NGA,Subsaharian,2246.8201,160.3419952392578,77.80000305175781,8.300000200000001,8.8999996,3.668798446655273,Nigeria
188,0.79400003,URY,Latam,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914,Uruguay
61,0.69400001,GAB,Subsaharian,14525.28,,42.400001525878906,8.8599997,,3.437471628189087,Gabon
83,0.46599999,CIV,Subsaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451,Cote d'Ivoire
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375,Trinidad and Tobago
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,Belarus
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,Russia
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041,Morocco
159,,SOM,Subsaharian,1436.74,,,0.0,,,Somalia
4,0.53100002,AGO,Subsaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959,Angola
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,Canada
42,0.77499998,CRI,Latam,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133,Costa Rica
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756,France (1963-)
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182,Monaco
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,Oman
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193,Iraq
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,Singapore
149,0.565,STP,Subsaharian,2150.55,,,5.6900001,,8.353466033935549,Sao Tome and Principe
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.819999699999999,7.0,7.4693031311035165,Barbados
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.9000000953674316,9.880000099999998,22.6,9.501075744628906,Portugal
34,0.39399999,TCD,Subsaharian,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136,Chad
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585,Poland
134,0.69199997,PRY,Latam,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756,Paraguay
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094,Afghanistan
107,0.85299999,MLT,WesternDem,24094.641,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422,Malta
116,0.414,MOZ,Subsaharian,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576,Mozambique
69,0.63700002,GTM,Latam,4438.0,,26.5,1.88,,6.202301502227782,Guatemala
63,0.44999999,GMB,Subsaharian,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781,Gambia
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137,Palau
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Nauru
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691,Slovakia
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419924,Bulgaria
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128,Jordan
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.4000000953674316,12.6,23.9,10.59475135803223,Belgium
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288,Myanmar
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166,Thailand
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594,Czech Republic
13,0.741,ARM,EastEurope,6451.9399,2.9800000190734863,14.699999809265142,3.9100001000000004,28.0,4.480149269104004,Armenia
163,0.42100000000000004,SSD,Subsaharian,,,,,,2.738420724868774,South Sudan
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306,Kazakhstan
150,0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,7.4000000953674325,0.09000000400000001,17.1,4.684084892272949,Saudi Arabia
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877,Tuvalu
103,0.47299999,MWI,Subsaharian,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086,Malawi
166,0.54100001,SWZ,Subsaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,Swaziland
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236,Israel
122,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563,Vanuatu
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018,Yemen
26,0.40599999,BDI,Subsaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737,Burundi
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,Brunei
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662,St Lucia
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389,Fiji
151,0.491,SEN,Subsaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693,Senegal
37,,TWN,EastAsia,33965.871,23.43400001525879,3.9345641136169434,,,,Taiwan
